country,idx,iteration,rhat
Austria,0,0,1.3760891099625214
Austria,0,1,1.7525944799637179
Austria,0,2,1.2429269907194032
Austria,1,0,1.0103774693977707
Austria,2,0,1.0078874038429015
Belarus,0,0,1.8184258092179482
Belarus,0,1,2.550342230124226
Belarus,0,2,5.693010051361653
Belarus,1,0,1.0610942170725788
Belarus,2,0,1.0408393252045387
Belgium,0,0,2.488307741749859
Belgium,0,1,3.085689847115929
Belgium,0,2,2.859477455869355
Belgium,1,0,1.4031640587721803
Belgium,1,1,6.868663812941298
Belgium,1,2,6.593617591480986
Belgium,1,3,1.0672949911149545
Belgium,2,0,1.1552863052503874
Belgium,2,1,1.0569711876576668
Bulgaria,0,0,1.0552303551780464
Bulgaria,1,0,1.005242036023362
Bulgaria,2,0,1.0020237411454873
Croatia,0,0,1.0512300096251403
Croatia,1,0,1.0058669834427207
Croatia,2,0,1.001647308086258
Cyprus,0,0,1.0979823210140036
Cyprus,1,0,1.003857408996518
Cyprus,2,0,1.0374314997770482
Czechia,0,0,1.326180640126275
Czechia,0,1,5.1273953362468205
Czechia,0,2,4.7975463023046
Czechia,1,0,1.0087896727434307
Czechia,2,0,4.837924344874144
Czechia,2,1,1.0042510109505625
Denmark,0,0,4.19927656768232
Denmark,0,1,4.43568504388948
Denmark,0,2,1.2173691045702706
Denmark,1,0,1.0112534860217153
Denmark,2,0,2.76502235092669
Denmark,2,1,1.5885785268455177
Denmark,2,2,1.007626316441292
Estonia,0,0,1.6391811124334748
Estonia,0,1,1.0776176065553928
Estonia,1,0,1.0080095914937905
Estonia,2,0,1.035143335655039
Finland,0,0,1.1294540929964536
Finland,0,1,3.0308974835982596
Finland,0,2,1.2826140007746987
Finland,1,0,1.0636516358338313
Finland,2,0,1.0074995888298668
France,0,0,1.154144156600913
France,0,1,1.1396214243019365
France,0,2,8.686349790864515
France,0,3,1.107189705138803
France,0,4,8.907217896825687
Germany,0,0,8.05912336519633
Germany,0,1,11.694264714630782
Germany,0,2,11.109249921276655
Germany,1,0,3.741990530676677
Germany,1,1,11.031267239048802
Germany,1,2,1.1934264736803324
Germany,1,3,3.291035936502022
Germany,1,4,5.570404604220983
Germany,1,5,5.837574514728885
Germany,1,6,8.360985548129047
Germany,1,7,1.1165013344748036
Germany,1,8,8.992574480020203
Germany,1,9,1.1123758175658518
Germany,2,0,5.6579703171644065
Germany,2,1,10.548511726717512
Germany,2,2,1.1356848805347983
Germany,2,3,4.2851921129755475
Germany,2,4,8.553059542692207
Greece,0,0,1.0509201722242567
Greece,1,0,1.0084717182783256
Greece,2,0,1.0084770342563638
Hungary,0,0,1.1408284942429083
Hungary,0,1,1.102493895449129
Hungary,0,2,1.1336320445777912
Hungary,1,0,1.0022708566521443
Hungary,2,0,1.0032824821500081
Ireland,0,0,2.9726249965784937
Ireland,0,1,5.484109186141986
Ireland,0,2,52.165595924888734
Ireland,1,0,5.613265519513889
Ireland,1,1,5.597366961124942
Ireland,1,2,1.0211049374921959
Ireland,2,0,1.0285742597440735
Italy,0,0,12.930155566886853
Italy,0,1,11.543530549912083
Italy,0,2,11.248648606911694
Italy,1,0,8.70316047926484
Italy,1,1,1.255445911448322
Italy,1,2,2.733245721842698
Italy,1,3,3.199536266443551
Italy,1,4,11.529614087362669
Italy,1,5,8.80058064221312
Italy,1,6,8.121160094676537
Italy,1,7,7.917945347541998
Italy,1,8,9.492940246051065
Italy,1,9,8.944881882061908
Italy,2,0,1.4040494454116672
Italy,2,1,1.259586031801555
Italy,2,2,1.3037081926782512
Italy,2,3,9.700271201611088
Italy,2,4,1.2644522352516985
Latvia,0,0,1.02784937732761
Latvia,1,0,1.001226217736716
Latvia,2,0,1.0183661905807613
Lithuania,0,0,1.0884469253793432
Lithuania,1,0,1.006439318528421
Lithuania,2,0,1.2365126644436235
Lithuania,2,1,1.002463045650824
Luxembourg,0,0,3.747220863013611
Luxembourg,0,1,4.643629179845667
Luxembourg,0,2,4.7792449339135565
Luxembourg,1,0,4.539061687096992
Luxembourg,1,1,1.2717679663968788
Luxembourg,1,2,1.0332974622399982
Luxembourg,2,0,4.725457693604893
Luxembourg,2,1,4.508456206231713
Luxembourg,2,2,4.52306260019371
Luxembourg,2,3,1.0092543289689409
Malta,0,0,1.0586953254681637
Malta,1,0,1.0057833393902438
Malta,2,0,1.0021872294582166
Netherlands,0,0,6.545517213366863
Netherlands,0,1,2.33598668202792
Netherlands,0,2,2.1275915666737912
Netherlands,1,0,1.0576337697593012
Netherlands,2,0,6.432112322613049
Netherlands,2,1,1.0383207511492172
Norway,0,0,6.785362227525443
Norway,0,1,1.1114898258357635
Norway,0,2,1.1714771768669614
Norway,1,0,1.047109123704821
Norway,2,0,1.00480683656872
Poland,0,0,1.414263960431943
Poland,0,1,4.087959776114702
Poland,0,2,4.074296693689372
Poland,1,0,1.0212439798445094
Poland,2,0,1.04319040185521
Portugal,0,0,7.042535795503519
Portugal,0,1,6.80645406583992
Portugal,0,2,7.503217409378294
Portugal,1,0,6.3876230111373555
Portugal,1,1,1.0212411701015602
Portugal,2,0,1.0162453872041755
Romania,0,0,23.20937995181142
Romania,0,1,4.289860655439803
Romania,0,2,1.41203051873654
Romania,1,0,1.0198151665033899
Romania,2,0,1.0151272769053585
Russia,0,0,6.935670819237241
Russia,0,1,8.610012220409539
Russia,0,2,7.910763120433985
Russia,1,0,10.477913782578169
Russia,1,1,1.1746038033101187
Russia,1,2,8.082900671698559
Russia,1,3,1.2462182137796893
Russia,1,4,6.90925359124217
Russia,1,5,7.09821091550869
Russia,1,6,7.283650502803601
Russia,1,7,8.49991859142868
Russia,1,8,1.359016103727078
Russia,1,9,1.0584330850887382
Russia,2,0,9.381598394828716
Russia,2,1,5.987720623035634
Russia,2,2,1.5806288833565305
Russia,2,3,7.5627563980879495
Russia,2,4,6.268403795138462
Slovakia,0,0,1.1278935003876274
Slovakia,0,1,1.0996996931800451
Slovakia,1,0,1.0087938999750858
Slovakia,2,0,1.1140880911297035
Slovakia,2,1,1.001355333522709
Slovenia,0,0,1.0835499358034408
Slovenia,1,0,1.0177897303015948
Slovenia,2,0,1.016365959704138
Spain,0,0,12.048644252381026
Spain,0,1,7.424741301779298
Spain,0,2,11.41393433923018
Spain,1,0,8.198672284984486
Spain,1,1,1.1756770560173373
Spain,1,2,16.84302226476872
Spain,1,3,1.2032117823837634
Spain,1,4,8.145587603453071
Spain,1,5,8.577731539780224
Spain,1,6,10.304668601863277
Spain,1,7,9.599440687314118
Spain,1,8,7.551891717046796
Spain,1,9,12.799288830017433
Spain,2,0,1.1662150689533441
Spain,2,1,8.868130232595064
Spain,2,2,1.281445212328676
Spain,2,3,12.774080815334338
Spain,2,4,1.2743831895042672
Sweden,0,0,4.740097118009145
Sweden,0,1,3.5152414096451015
Sweden,0,2,1.7118459661517538
Sweden,1,0,1.2837818106271115
Sweden,1,1,4.33926878064933
Sweden,1,2,2.0296855547059907
Sweden,1,3,1.0417571735426785
Sweden,2,0,4.398914380143199
Sweden,2,1,1.0316957794272934
Switzerland,0,0,3.8435001874894845
Switzerland,0,1,6.658655554111371
Switzerland,0,2,2.3727693738495224
Switzerland,1,0,6.421518699170612
Switzerland,1,1,7.912762236435858
Switzerland,1,2,1.0194319543348112
Switzerland,2,0,1.0208078534189473
United_Kingdom,0,0,12.991922766491934
United_Kingdom,0,1,8.873711101249306
United_Kingdom,0,2,9.55899923676516
United_Kingdom,1,0,8.208095679969318
United_Kingdom,1,1,1.259154808074634
United_Kingdom,1,2,9.324442489078946
United_Kingdom,1,3,1.324188669729833
United_Kingdom,1,4,8.651937841373748
United_Kingdom,1,5,145.65363481166276
United_Kingdom,1,6,1.3316254597136825
United_Kingdom,1,7,8.347373752391329
United_Kingdom,1,8,7.440700281588036
United_Kingdom,1,9,1.3878214056443043
United_Kingdom,2,0,9.123975050892009
United_Kingdom,2,1,8.83471191171191
United_Kingdom,2,2,8.170053413585526
United_Kingdom,2,3,8.111143525180573
United_Kingdom,2,4,1.2172951474477015E15
