country,date,ML,Low_90,High_90,Low_50,High_50
Austria,2020-03-10,3.5700000000000003,1.59,5.2700000000000005,2.7,4.21
Austria,2020-03-11,3.5500000000000003,2.31,4.67,2.96,3.93
Austria,2020-03-12,3.48,2.6,4.34,3.09,3.8000000000000003
Austria,2020-03-13,3.34,2.64,4.01,3.0100000000000002,3.5700000000000003
Austria,2020-03-14,3.0300000000000002,2.42,3.56,2.7800000000000002,3.24
Austria,2020-03-15,2.86,2.34,3.31,2.65,3.04
Austria,2020-03-16,2.7,2.2600000000000002,3.1,2.5,2.84
Austria,2020-03-17,2.68,2.2800000000000002,3.02,2.49,2.79
Austria,2020-03-18,2.62,2.2600000000000002,2.92,2.44,2.71
Austria,2020-03-19,2.5100000000000002,2.2,2.79,2.36,2.6
Austria,2020-03-20,2.4,2.1,2.64,2.25,2.47
Austria,2020-03-21,2.32,2.07,2.56,2.19,2.39
Austria,2020-03-22,2.24,1.98,2.44,2.14,2.32
Austria,2020-03-23,2.14,1.9000000000000001,2.33,2.04,2.21
Austria,2020-03-24,2.08,1.8800000000000001,2.2800000000000002,1.99,2.15
Austria,2020-03-25,1.97,1.78,2.16,1.8900000000000001,2.04
Austria,2020-03-26,1.82,1.62,1.99,1.72,1.87
Austria,2020-03-27,1.62,1.43,1.79,1.55,1.69
Austria,2020-03-28,1.45,1.27,1.62,1.36,1.5
Austria,2020-03-29,1.29,1.11,1.46,1.21,1.35
Austria,2020-03-30,1.19,1.01,1.36,1.1,1.24
Austria,2020-03-31,1.06,0.86,1.22,0.98,1.12
Austria,2020-04-01,0.99,0.8,1.16,0.88,1.03
Austria,2020-04-02,0.89,0.6900000000000001,1.06,0.78,0.93
Austria,2020-04-03,0.77,0.59,0.96,0.68,0.8300000000000001
Austria,2020-04-04,0.66,0.46,0.84,0.58,0.73
Austria,2020-04-05,0.6,0.4,0.79,0.49,0.65
Austria,2020-04-06,0.59,0.36,0.77,0.49,0.65
Austria,2020-04-07,0.62,0.38,0.8,0.5,0.67
Austria,2020-04-08,0.66,0.45,0.87,0.55,0.72
Austria,2020-04-09,0.71,0.47000000000000003,0.9,0.61,0.78
Austria,2020-04-10,0.7000000000000001,0.49,0.92,0.58,0.76
Austria,2020-04-11,0.65,0.42,0.86,0.53,0.71
Austria,2020-04-12,0.6,0.35000000000000003,0.8,0.48,0.66
Austria,2020-04-13,0.53,0.28,0.74,0.43,0.61
Austria,2020-04-14,0.49,0.23,0.7000000000000001,0.36,0.55
Austria,2020-04-15,0.46,0.2,0.68,0.35000000000000003,0.54
Austria,2020-04-16,0.45,0.18,0.67,0.31,0.51
