region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Austria,2020-02-16,1.5690869217996806,1.5120787802881717,1.0959094331901524,2.0427385666990583,1.2368026790199658,1.6089988761624208
Austria,2020-02-17,1.5764514688475604,1.522668146773502,1.118345554059646,2.0836185349695846,1.2421004002732214,1.610395640513064
Austria,2020-02-18,1.5824200007900584,1.5298745450333548,1.1154366996149947,2.0675554763089448,1.2556665743379503,1.6287559104777563
Austria,2020-02-19,1.589323074935774,1.5379131090111238,1.1163317785431077,2.074638753298905,1.2575149241514099,1.62632171551724
Austria,2020-02-20,1.5979735503151287,1.5428456542256572,1.101337631108906,2.0674884338064445,1.2975710776999132,1.671764701018159
Austria,2020-02-21,1.605741718692178,1.5448426247528337,1.1001698761211982,2.0722361368877853,1.2837966485964551,1.6542951661715417
Austria,2020-02-22,1.6129249541159738,1.5513382592010823,1.1236059860797731,2.089527082070233,1.3086102160371857,1.6744047973234766
Austria,2020-02-23,1.61935891546722,1.560426788434808,1.1501984860335617,2.1099363164862894,1.2998548676012176,1.6697891553584645
Austria,2020-02-24,1.6227941560905945,1.5702365701964136,1.1527194442342994,2.095390948450376,1.305894290536061,1.6644946442358828
Austria,2020-02-25,1.6289035740844777,1.5744803583000995,1.1524936867241113,2.0828967120166935,1.3485407143284358,1.710031733452174
Austria,2020-02-26,1.6325202613208638,1.5772284788471382,1.1526479447328015,2.0882307222854672,1.3283623495884767,1.6871930857096156
Austria,2020-02-27,1.6344007478774658,1.5800499261515952,1.176236149809768,2.1103322133549955,1.3628827685845395,1.7201975160944802
Austria,2020-02-28,1.6352513920404255,1.5786828926026089,1.1862534752823226,2.1092487898167205,1.3376852901067118,1.69502855222881
Austria,2020-02-29,1.6325576051644681,1.5780671348007178,1.1722894113534439,2.0796202598983515,1.3448705623285617,1.6934073507534027
Austria,2020-03-01,1.6264930114975407,1.5720092692589303,1.1656112467049398,2.054896052749808,1.3354199143244185,1.6791118355859707
Austria,2020-03-02,1.6187077810596435,1.566320110673309,1.1736629657867101,2.046249429302611,1.347246128822384,1.6861467041808433
Austria,2020-03-03,1.6118748490929424,1.5618929691278287,1.1798305325090241,2.033346760427509,1.3420542051591529,1.6766131928364754
Austria,2020-03-04,1.6003674805446495,1.55468059772236,1.1691391128242663,2.0169967203725374,1.3258815474161931,1.6561446696052116
Austria,2020-03-05,1.5833108584221558,1.5376955861169277,1.1629588147554304,1.9814631844928068,1.325540237802405,1.6488101298790756
Austria,2020-03-06,1.5641086307475416,1.519048969090294,1.154141590057909,1.9409788708821047,1.3255560547270278,1.6351829867418881
Austria,2020-03-07,1.5409401623836465,1.4997677758143015,1.1618161362131416,1.9095310987384149,1.2885470762055313,1.5816127388626524
Austria,2020-03-08,1.5166986348687548,1.4758490711350774,1.1652694948786013,1.8862247028500887,1.2809754020530306,1.5625475450104611
